iter	Passed	Remaining
302	1836	4224
303	1842	4218
304	1848	4212
305	1854	4205
306	1860	4199
307	1866	4193
308	1872	4187
309	1878	4180
310	1884	4174
311	1890	4168
312	1896	4162
313	1902	4157
314	1908	4150
315	1914	4144
316	1920	4138
317	1927	4133
318	1933	4126
319	1939	4120
320	1945	4114
321	1951	4108
322	1957	4103
323	1963	4097
324	1969	4091
325	1975	4084
326	1981	4078
327	1987	4072
328	1993	4066
329	2000	4061
330	2006	4055
331	2012	4048
332	2018	4042
333	2024	4036
334	2030	4030
335	2036	4024
336	2042	4018
337	2048	4011
338	2054	4005
339	2060	3999
340	2066	3994
341	2073	3988
342	2079	3982
343	2085	3976
344	2091	3970
345	2097	3964
346	2103	3958
347	2109	3952
348	2115	3946
349	2121	3940
350	2127	3934
351	2134	3928
352	2140	3922
353	2146	3917
354	2152	3910
355	2158	3904
356	2164	3898
357	2170	3892
358	2176	3886
359	2182	3880
360	2188	3874
361	2195	3868
362	2201	3863
363	2207	3857
364	2213	3851
365	2219	3845
366	2225	3839
367	2231	3833
368	2238	3827
369	2244	3821
370	2250	3815
371	2256	3809
372	2262	3803
373	2268	3796
374	2274	3790
375	2280	3784
376	2286	3778
377	2292	3772
378	2298	3765
379	2304	3760
380	2310	3753
381	2316	3747
382	2322	3741
383	2329	3736
384	2335	3730
385	2341	3723
386	2347	3717
387	2353	3712
388	2359	3706
389	2365	3700
390	2371	3694
391	2377	3688
392	2383	3681
393	2389	3675
394	2396	3670
395	2402	3664
396	2408	3657
397	2413	3651
398	2419	3645
399	2426	3639
400	2432	3633
401	2438	3627
402	2444	3621
403	2450	3615
404	2456	3608
405	2462	3602
406	2468	3597
407	2474	3590
408	2480	3584
409	2486	3578
410	2492	3572
411	2498	3565
412	2504	3559
413	2510	3553
414	2516	3547
415	2522	3540
416	2528	3535
417	2534	3528
418	2540	3522
419	2546	3516
420	2552	3510
421	2558	3503
422	2564	3497
423	2569	3491
424	2576	3485
425	2582	3479
426	2588	3473
427	2594	3466
428	2600	3461
429	2606	3454
430	2612	3449
431	2618	3443
432	2624	3437
433	2631	3431
434	2636	3424
435	2642	3418
436	2649	3413
437	2655	3407
438	2661	3401
439	2668	3395
440	2674	3389
441	2680	3383
442	2685	3377
443	2692	3371
444	2698	3364
445	2703	3358
446	2710	3353
447	2716	3347
448	2722	3340
449	2728	3334
450	2734	3328
451	2740	3321
452	2745	3315
453	2751	3309
454	2757	3303
455	2763	3297
456	2770	3291
457	2775	3285
458	2782	3279
459	2788	3273
460	2794	3266
461	2800	3261
462	2807	3255
463	2813	3249
464	2819	3243
465	2824	3237
466	2830	3230
467	2836	3224
468	2842	3218
469	2848	3212
470	2854	3205
471	2860	3199
472	2866	3193
473	2872	3187
474	2878	3182
475	2885	3175
476	2890	3169
477	2896	3163
478	2902	3157
479	2909	3151
480	2915	3145
481	2920	3139
482	2926	3132
483	2932	3126
484	2938	3120
485	2944	3114
486	2950	3108
487	2956	3101
488	2962	3095
489	2968	3089
490	2974	3083
491	2980	3077
492	2986	3071
493	2992	3065
494	2998	3059
495	3004	3052
496	3010	3046
497	3016	3040
498	3022	3034
499	3028	3028
500	3034	3022
501	3040	3016
502	3046	3009
503	3052	3003
504	3058	2998
505	3064	2991
506	3070	2985
507	3076	2979
508	3082	2973
509	3088	2967
510	3094	2961
511	3100	2955
512	3106	2949
513	3112	2943
514	3118	2936
515	3124	2930
516	3130	2924
517	3136	2918
518	3142	2912
519	3148	2906
520	3154	2900
521	3161	2894
522	3166	2888
523	3172	2882
524	3178	2875
525	3184	2869
526	3191	2864
527	3197	2858
528	3203	2852
529	3209	2845
530	3214	2839
531	3220	2833
532	3226	2827
533	3232	2821
534	3238	2814
535	3244	2808
536	3249	2802
537	3255	2795
538	3261	2789
539	3268	2783
540	3274	2777
541	3280	2771
542	3286	2765
543	3291	2759
544	3297	2753
545	3304	2747
546	3310	2741
547	3316	2735
548	3322	2729
549	3328	2723
550	3334	2717
551	3340	2711
552	3346	2705
553	3352	2699
554	3358	2693
555	3364	2687
556	3370	2681
557	3377	2675
558	3382	2668
559	3388	2662
560	3394	2656
561	3400	2650
562	3406	2644
563	3412	2638
564	3418	2632
565	3424	2625
566	3430	2619
567	3435	2613
568	3441	2606
569	3447	2600
570	3453	2594
571	3459	2588
572	3465	2582
573	3471	2576
574	3477	2570
575	3483	2563
576	3489	2557
577	3495	2552
578	3501	2546
579	3507	2540
580	3514	2534
581	3520	2528
582	3526	2522
583	3532	2516
584	3538	2510
585	3544	2504
586	3551	2498
587	3557	2492
588	3563	2486
589	3569	2480
590	3575	2474
591	3581	2468
592	3587	2462
593	3593	2456
594	3599	2450
595	3605	2444
596	3612	2438
597	3618	2432
598	3624	2426
599	3630	2420
600	3636	2414
601	3643	2408
602	3649	2402
603	3655	2396
604	3661	2390
605	3666	2384
606	3672	2378
607	3679	2371
608	3685	2366
609	3691	2359
610	3697	2353
611	3703	2347
612	3709	2341
613	3715	2335
614	3721	2329
615	3727	2323
616	3733	2317
617	3739	2311
618	3745	2305
619	3751	2299
620	3757	2293
621	3763	2287
622	3770	2281
623	3776	2275
624	3781	2269
625	3787	2263
626	3793	2256
627	3799	2250
628	3805	2244
629	3811	2238
630	3817	2232
631	3823	2226
632	3829	2220
633	3834	2213
634	3840	2207
635	3846	2201
636	3852	2195
637	3858	2189
638	3864	2183
639	3870	2176
640	3875	2170
641	3881	2164
642	3887	2158
643	3893	2152
644	3899	2146
645	3905	2140
646	3911	2133
647	3917	2127
648	3923	2121
649	3929	2115
650	3935	2109
651	3940	2103
652	3946	2097
653	3952	2091
654	3958	2085
655	3964	2079
656	3970	2072
657	3976	2067
658	3983	2061
659	3989	2054
660	3994	2048
661	4000	2042
662	4006	2036
663	4012	2030
664	4018	2024
665	4024	2018
666	4030	2012
667	4036	2006
668	4042	2000
669	4048	1994
670	4054	1988
671	4060	1981
672	4066	1975
673	4073	1970
674	4079	1964
675	4084	1957
676	4090	1951
677	4096	1945
678	4103	1939
679	4108	1933
680	4115	1927
681	4121	1921
682	4126	1915
683	4132	1909
684	4139	1903
685	4145	1897
686	4151	1891
687	4156	1885
688	4162	1878
689	4168	1872
690	4174	1866
691	4180	1860
692	4186	1854
693	4192	1848
694	4198	1842
695	4205	1836
696	4211	1830
697	4217	1824
698	4223	1818
699	4229	1812
700	4235	1806
701	4242	1800
702	4248	1794
703	4254	1788
704	4260	1782
705	4266	1776
706	4272	1770
707	4278	1764
708	4284	1758
709	4290	1752
710	4296	1746
711	4302	1740
712	4308	1734
713	4314	1728
714	4320	1722
715	4326	1716
716	4332	1710
717	4338	1703
718	4344	1697
719	4350	1691
720	4356	1685
721	4362	1679
722	4367	1673
723	4374	1667
724	4379	1661
725	4385	1655
726	4392	1649
727	4398	1643
728	4404	1637
729	4410	1631
730	4416	1625
731	4422	1619
732	4428	1613
733	4434	1607
734	4440	1601
735	4446	1594
736	4452	1588
737	4457	1582
738	4463	1576
739	4469	1570
740	4475	1564
741	4481	1558
742	4487	1552
743	4493	1546
744	4499	1539
745	4505	1533
746	4511	1527
747	4517	1521
748	4523	1515
749	4529	1509
750	4534	1503
751	4540	1497
752	4547	1491
753	4553	1485
754	4559	1479
755	4565	1473
756	4571	1467
757	4577	1461
758	4583	1455
759	4589	1449
760	4595	1443
761	4601	1437
762	4607	1431
763	4613	1425
764	4619	1419
765	4625	1413
766	4631	1407
767	4637	1400
768	4644	1395
769	4650	1389
770	4656	1383
771	4662	1377
772	4668	1371
773	4674	1364
774	4680	1358
775	4686	1352
776	4692	1346
777	4698	1340
778	4704	1334
779	4710	1328
780	4716	1322
781	4722	1316
782	4728	1310
783	4734	1304
784	4740	1298
785	4746	1292
786	4752	1286
787	4758	1280
788	4764	1274
789	4770	1268
790	4775	1261
791	4782	1255
792	4788	1249
793	4794	1243
794	4800	1237
795	4806	1231
796	4812	1225
797	4818	1219
798	4824	1213
799	4830	1207
800	4836	1201
801	4842	1195
802	4848	1189
803	4854	1183
804	4861	1177
805	4867	1171
806	4873	1165
807	4879	1159
808	4885	1153
809	4891	1147
810	4897	1141
811	4903	1135
812	4909	1129
813	4915	1123
814	4921	1117
815	4927	1111
816	4933	1105
817	4940	1099
818	4946	1093
819	4952	1087
820	4958	1081
821	4964	1074
822	4970	1068
823	4976	1062
824	4982	1056
825	4988	1050
826	4994	1044
827	5000	1038
828	5006	1032
829	5012	1026
830	5019	1020
831	5024	1014
832	5031	1008
833	5037	1002
834	5043	996
835	5049	990
836	5055	984
837	5061	978
838	5067	972
839	5073	966
840	5079	960
841	5086	954
842	5092	948
843	5098	942
844	5104	936
845	5110	930
846	5116	924
847	5122	918
848	5128	912
849	5134	906
850	5140	900
851	5146	894
852	5152	887
853	5158	881
854	5164	875
855	5170	869
856	5177	863
857	5183	857
858	5189	851
859	5194	845
860	5200	839
861	5206	833
862	5213	827
863	5219	821
864	5225	815
865	5231	809
866	5237	803
867	5243	797
868	5249	791
869	5255	785
870	5262	779
871	5268	773
872	5274	767
873	5280	761
874	5286	755
875	5292	749
876	5298	743
877	5303	736
878	5309	730
879	5315	724
880	5322	718
881	5328	712
882	5334	706
883	5339	700
884	5345	694
885	5351	688
886	5357	682
887	5363	676
888	5369	670
889	5375	664
890	5382	658
891	5387	652
892	5394	646
893	5400	640
894	5406	634
895	5412	628
896	5418	622
897	5424	616
898	5430	610
899	5437	604
900	5443	598
901	5449	592
902	5455	586
903	5461	580
904	5467	573
905	5474	567
906	5480	561
907	5486	555
908	5492	549
909	5498	543
910	5504	537
911	5510	531
912	5516	525
913	5522	519
914	5528	513
915	5534	507
916	5541	501
917	5547	495
918	5553	489
919	5559	483
920	5565	477
921	5571	471
922	5577	465
923	5583	459
924	5589	453
925	5595	447
926	5601	441
927	5607	435
928	5613	429
929	5619	422
930	5625	416
931	5631	410
932	5637	404
933	5643	398
934	5649	392
935	5655	386
936	5661	380
937	5667	374
938	5673	368
939	5679	362
940	5685	356
941	5691	350
942	5697	344
943	5703	338
944	5709	332
945	5715	326
946	5721	320
947	5727	314
948	5732	308
949	5739	302
950	5744	296
951	5750	289
952	5756	283
953	5762	277
954	5768	271
955	5774	265
956	5780	259
957	5787	253
958	5793	247
959	5799	241
960	5805	235
961	5810	229
962	5817	223
963	5823	217
964	5829	211
965	5835	205
966	5841	199
967	5847	193
968	5853	187
969	5860	181
970	5866	175
971	5872	169
972	5878	163
973	5884	157
974	5890	151
975	5896	144
976	5902	138
977	5908	132
978	5914	126
979	5920	120
980	5926	114
981	5933	108
982	5939	102
983	5945	96
984	5951	90
985	5957	84
986	5963	78
987	5969	72
988	5975	66
989	5981	60
990	5987	54
991	5993	48
992	5999	42
993	6006	36
994	6012	30
995	6018	24
996	6023	18
997	6030	12
998	6036	6
999	6042	0
