iter	Logloss
0	0.6579188453
1	0.6306639362
2	0.6075733681
3	0.5890236218
4	0.5735456617
5	0.5615856371
6	0.551849646
7	0.5431936163
8	0.5364283452
9	0.5307863328
10	0.5255885993
11	0.5210898835
12	0.5176689161
13	0.5140464276
14	0.5112296177
15	0.5087781058
16	0.5068057869
17	0.5052193514
18	0.5034845612
19	0.5019429177
20	0.5005684498
21	0.4996389926
22	0.4986277098
23	0.4977107706
24	0.4966452222
25	0.495928904
26	0.4951030258
27	0.4943093284
28	0.4936075865
29	0.4929966232
30	0.4925313346
31	0.4919285324
32	0.4911891763
33	0.4907934705
34	0.4902172947
35	0.4897857936
36	0.4895019214
37	0.4889048703
38	0.4885292007
39	0.488296112
40	0.4880495871
41	0.4876720362
42	0.4875107691
43	0.4870760279
44	0.4868293105
45	0.4863511111
46	0.4859635275
47	0.4857857862
48	0.4856137528
49	0.4854289704
50	0.4850825731
51	0.4847702028
52	0.4844498559
53	0.4843431559
54	0.4841279465
55	0.4838530757
56	0.4836235993
57	0.4834851863
58	0.4832337837
59	0.4830013437
60	0.4827183376
61	0.4825705761
62	0.4823246051
63	0.4820968081
64	0.4818750456
65	0.481744037
66	0.4816875504
67	0.4815549135
68	0.4813170007
69	0.4811874911
70	0.4809809253
71	0.4809315543
72	0.4807483747
73	0.4804993886
74	0.4803446481
75	0.4802610393
76	0.4801824738
77	0.4800077445
78	0.4798267901
79	0.4796702152
80	0.4795444363
81	0.4792196606
82	0.4790129401
83	0.4788753349
84	0.4788253007
85	0.4786918346
86	0.4785968853
87	0.4784843359
88	0.4783382858
89	0.4782108841
90	0.4780102294
91	0.4778896866
92	0.4776929305
93	0.4775570937
94	0.4773921014
95	0.4772781409
96	0.4770568843
97	0.476916433
98	0.4767853042
99	0.4766288232
100	0.4765275168
101	0.4763784485
102	0.476298691
103	0.476240777
104	0.4759781464
105	0.4758462673
106	0.4757990694
107	0.4756770027
108	0.4755295037
109	0.4753761712
110	0.4753029243
111	0.475186716
112	0.4751150804
113	0.4750481789
114	0.4749270526
115	0.4748233953
116	0.4747602642
117	0.4746901284
118	0.4746361762
119	0.4745656501
120	0.4744680518
121	0.474417786
122	0.4743370461
123	0.4742911166
124	0.4741931048
125	0.4741271846
126	0.4739190791
127	0.4738208634
128	0.4737234177
129	0.4736412078
130	0.4735458429
131	0.4734604776
132	0.4733479251
133	0.4731853868
134	0.4730398422
135	0.4729715351
136	0.4728346544
137	0.4727253771
138	0.4726109915
139	0.4724892531
140	0.4724035923
141	0.4722991339
142	0.4722028231
143	0.472127939
144	0.472048402
145	0.4719531806
146	0.4718552269
147	0.4717007925
148	0.4715956107
149	0.4715087119
150	0.4714299328
151	0.4713268738
152	0.4712218148
153	0.4710837474
154	0.4709756424
155	0.4709021408
156	0.4708336351
157	0.4707379733
158	0.4706447317
159	0.4705502754
160	0.4703911404
161	0.4703233242
162	0.4702583964
163	0.4701553768
164	0.4700939133
165	0.4699482643
166	0.4698888833
167	0.469801188
168	0.4696768838
169	0.4695729056
170	0.4694883996
171	0.469417499
172	0.4693573823
173	0.4693017954
174	0.4692116589
175	0.469169018
176	0.4691122898
177	0.4690078799
178	0.4689028283
179	0.468833937
180	0.4687924232
181	0.4687655891
182	0.4687163161
183	0.4685570587
184	0.4685107003
185	0.4684191672
186	0.4683224179
187	0.4682200243
188	0.4681483261
189	0.468088397
190	0.4680230547
191	0.4679194108
192	0.467872597
193	0.4677398789
194	0.4676668417
195	0.4676032564
196	0.4674995868
197	0.4674332476
198	0.4673699102
199	0.4673224477
200	0.4672666585
201	0.4671962967
202	0.4670559176
203	0.4669268753
204	0.4668497811
205	0.4667788684
206	0.4667192703
207	0.4666921003
208	0.4666372189
209	0.4665828089
210	0.4665251026
211	0.4664935608
212	0.4664424064
213	0.4663915427
214	0.4663385025
215	0.4662908866
216	0.4662516591
217	0.4661635469
218	0.4661325224
219	0.466097841
220	0.4660753284
221	0.4660323312
222	0.4659876536
223	0.4659312902
224	0.4658644635
225	0.4658233906
226	0.4657463821
227	0.4656309498
228	0.4655935533
229	0.4654928914
230	0.4654133134
231	0.4653563578
232	0.4652902342
233	0.4652211655
234	0.4651021755
235	0.4650367609
236	0.4649755557
237	0.4649385299
238	0.4648695607
239	0.4648469548
240	0.4647863172
241	0.4647429485
242	0.4646824272
243	0.4646301636
244	0.4645687147
245	0.4645053577
246	0.4644109851
247	0.4643543955
248	0.4643042456
249	0.4642472804
250	0.4641907381
251	0.4641269496
252	0.4640832308
253	0.4639989569
254	0.463967152
255	0.4638618499
256	0.463798779
257	0.4637439976
258	0.4636776198
259	0.4636144835
260	0.4635232825
261	0.4634446315
262	0.4633418582
263	0.4632668665
264	0.463210254
265	0.4631414671
266	0.4630888637
267	0.4630490197
268	0.4630009649
269	0.4628730884
270	0.4628063361
271	0.4627693652
272	0.4626921771
273	0.4626428307
274	0.4625982171
275	0.4625337922
276	0.4624590582
277	0.4623813333
278	0.4623139724
279	0.4622413669
280	0.4622026281
281	0.4621427486
282	0.4620404168
283	0.461981384
284	0.4619318119
285	0.4618582514
286	0.461821823
287	0.4617822308
288	0.4616991516
289	0.461663089
290	0.4615920439
291	0.4615422159
292	0.4615157224
293	0.4614948723
294	0.4614302472
295	0.4613954468
296	0.4613438493
297	0.4612944456
298	0.4612457743
299	0.4612160033
300	0.461173753
301	0.461118388
302	0.4610758577
303	0.4610045635
304	0.4609661131
305	0.4609108769
306	0.4608806602
307	0.4608128286
308	0.4607784361
309	0.4607533245
310	0.4606945482
311	0.4606305178
312	0.4605732105
313	0.4605248109
314	0.4604865247
315	0.460454497
316	0.4603803423
317	0.4603268444
318	0.4602611381
319	0.4602083384
320	0.4601555833
321	0.4600979722
322	0.4600495242
323	0.4599994279
324	0.4599441911
325	0.4599146998
326	0.4598356743
327	0.459788515
328	0.459722782
329	0.4596716586
330	0.4596347768
331	0.4596032872
332	0.4595384509
333	0.4594772269
334	0.4594512352
335	0.4594079009
336	0.4593481574
337	0.4592965115
338	0.4592585515
339	0.4592154254
340	0.4591871977
341	0.459152724
342	0.4591256709
343	0.4590905586
344	0.4590298438
345	0.4589616291
346	0.4589405789
347	0.4588982868
348	0.4588402684
349	0.4588104257
350	0.4587767327
351	0.4587313265
352	0.4586652997
353	0.4586189717
354	0.4585829086
355	0.4585399721
356	0.4584886249
357	0.4584455319
358	0.4583856987
359	0.4583402468
360	0.4582796989
361	0.458228909
362	0.4581918283
363	0.4581482833
364	0.4581017655
365	0.4580510098
366	0.458027824
367	0.4579832575
368	0.4579342658
369	0.457845102
370	0.4577972558
371	0.4577565344
372	0.4577093176
373	0.4576838143
374	0.4576497905
375	0.4576371368
376	0.4575897047
377	0.4575256251
378	0.4574849464
379	0.4574353595
380	0.4574136183
381	0.4573965681
382	0.4573495882
383	0.4573165079
384	0.4572761408
385	0.4572496533
386	0.4571949084
387	0.4571391012
388	0.4570958282
389	0.4570470143
390	0.4570031308
391	0.4569226534
392	0.4568681779
393	0.4567756203
394	0.4567046611
395	0.456662027
396	0.4566091412
397	0.4565711268
398	0.4565188027
399	0.4564501628
400	0.4564215318
401	0.4563667829
402	0.4563272099
403	0.4563017698
404	0.4562796142
405	0.4562410291
406	0.4561834378
407	0.4561427554
408	0.4560401504
409	0.4559876524
410	0.4559275501
411	0.4558817976
412	0.4558356284
413	0.4557949271
414	0.4557333939
415	0.4556569664
416	0.4556246096
417	0.4555562052
418	0.4555376687
419	0.4554928767
420	0.4554387069
421	0.4553906812
422	0.4553547517
423	0.4553029605
424	0.4552484119
425	0.4551957066
426	0.45517328
427	0.4551241378
428	0.4550569985
429	0.4550074977
430	0.4549647929
431	0.4549219773
